"DRIVERSTANDINGSID","RACEID","DRIVERID","POINTS","POSITION","POSITIONTEXT","WINS","YEAR","ROUND","NAME","DRIVERREF","FINAL","DRIVER_POSITION_BEFORE_RACE","DRIVER_POINTS_BEFORE_RACE","POSITION_POINTS_BEFORE_RACE","POINTS_OF_LOWER_POSITION","POINTS_OF_LOWER_POSITION_BEFORE_RACE","DELTA_POINTS_TO_LOWER_POSITION","DELTA_POINTS_TO_LOWER_POSITION_BEFORE_RACE","CHANGE_DELTA_BEFORE_AND_AFTER_RACE"
15907,322,122,0,30,"30",0,1990,2,"Brazilian Grand Prix","capelli","N",23,0,0,0,0,0,0,0
66191,262,83,0,23,"23",0,1994,6,"Canadian Grand Prix","lamy","N",22,0,0,0,0,0,0,0
66237,263,57,4,10,"10",0,1994,7,"French Grand Prix","hakkinen","N",9,4,4,4,4,0,0,0
18680,368,90,0,35,"35",0,1989,13,"Portuguese Grand Prix","moreno","N",35,0,0,0,0,0,0,0
18695,368,134,0,46,"46",0,1989,13,"Portuguese Grand Prix","bertaggia","N",45,0,0,,,,,
18710,369,110,4,15,"15",0,1989,14,"Spanish Grand Prix","cesaris","N",15,4,4,4,4,0,0,0
18728,369,160,0,38,"38",0,1989,14,"Spanish Grand Prix","ghinzani","N",38,0,0,0,0,0,0,0
64100,350,812,0,20,"20",0,2010,14,"Italian Grand Prix","chandhok","N",20,0,0,0,0,0,0,0
64181,351,2,0,26,"26",0,2010,15,"Singapore Grand Prix","heidfeld","N",20,0,0,0,0,0,0,0
64206,352,812,0,22,"22",0,2010,16,"Japanese Grand Prix","chandhok","N",20,0,0,0,0,0,0,0
64184,352,13,128,6,"6",0,2010,16,"Japanese Grand Prix","massa","N",6,128,128,122,122,6,6,0
64242,353,30,66,9,"9",0,2010,17,"Korean Grand Prix","michael_schumacher","N",9,54,54,47,47,19,7,12
52510,679,340,6,2,"2",0,1967,1,"South African Grand Prix","love","N",26,0,36,4,33,2,3,-1
52530,680,304,12,1,"1",1,1967,2,"Monaco Grand Prix","hulme","N",4,3,9,11,6,1,3,-2
52558,681,384,0,19,"19",0,1967,3,"Dutch Grand Prix","botha","N",14,0,0,0,0,0,0,0
52591,682,374,3,13,"13",0,1967,4,"Belgian Grand Prix","spence","N",12,1,1,2,0,1,1,0
52620,683,347,0,25,"25",0,1967,5,"French Grand Prix","bonnier","N",25,0,0,0,0,0,0,0
52655,684,359,0,29,"29",0,1967,6,"British Grand Prix","gavin","N",26,0,0,0,0,0,0,0
48451,731,458,0,28,"28",0,1962,3,"Belgian Grand Prix","slotemaker","N",25,0,0,0,,0,,
48434,731,394,3,9,"9",0,1962,3,"Belgian Grand Prix","baghetti","N",7,3,2,2,1,1,1,0
48486,732,435,0,17,"17",0,1962,4,"French Grand Prix","mairesse","N",14,0,0,0,0,0,0,0
49572,774,437,0,28,"28",0,1958,10,"Italian Grand Prix","burgess","N",25,0,0,0,0,0,0,0
49556,774,512,0,69,"69",0,1958,10,"Italian Grand Prix","thomson","N",68,0,0,0,0,0,0,0
49540,774,528,0,29,"29",0,1958,10,"Italian Grand Prix","freeland","N",26,0,0,0,0,0,0,0
49524,774,585,0,63,"63",0,1958,10,"Italian Grand Prix","emery","N",62,0,0,0,0,0,0,0
44268,819,737,0,34,"34",0,1952,3,"Belgian Grand Prix","obrien","N",,,0,0,0,0,0,0
44250,819,677,0,53,"53",0,1952,3,"Belgian Grand Prix","webb","N",43,0,0,0,0,0,0,0
44235,819,592,0,21,"21",0,1952,3,"Belgian Grand Prix","reece","N",15,0,0,0,0,0,0,0
44218,819,501,0,44,"44",0,1952,3,"Belgian Grand Prix","schell","N",33,0,0,0,0,0,0,0
44336,820,704,0,31,"31",0,1952,4,"French Grand Prix","cabantous","N",59,0,0,0,0,0,0,0
44318,820,615,0,64,"64",0,1952,4,"French Grand Prix","agabashian","N",58,0,0,0,0,0,0,0
46894,790,541,0,74,"74",0,1956,7,"German Grand Prix","flockhart","N",72,0,0,0,0,0,0,0
46878,790,633,2,19,"19",0,1956,7,"German Grand Prix","villoresi","N",17,2,2,2,2,0,0,0
65890,896,4,207,2,"2",2,2013,16,"Indian Grand Prix","alonso","N",2,207,207,183,177,24,30,-6
65932,897,807,39,11,"11",0,2013,17,"Abu Dhabi Grand Prix","hulkenberg","N",11,39,39,35,33,4,6,-2
65952,898,3,161,6,"6",2,2013,18,"United States Grand Prix","rosberg","N",6,159,159,132,114,29,45,-16
65972,899,820,0,23,"23",0,2013,19,"Brazilian Grand Prix","chilton","Y",22,0,0,,,,,
66022,272,116,0,33,"33",0,1994,16,"Australian Grand Prix","lagorce","Y",40,0,0,0,0,0,0,0
66049,257,106,0,25,"25",0,1994,1,"Brazilian Grand Prix","beretta","N",,,0,0,0,0,0,0
66082,258,78,0,28,"28",0,1994,2,"Pacific Grand Prix","larini","N",19,1,0,0,,0,,
50114,753,484,0,42,"42",0,1960,8,"Portuguese Grand Prix","naylor","N",42,0,0,0,0,0,0,0
50098,753,439,0,44,"44",0,1960,8,"Portuguese Grand Prix","estefano","N",44,0,0,0,0,0,0,0
50244,754,544,0,33,"33",0,1960,9,"Italian Grand Prix","drogo","N",,,0,0,0,0,0,0
50231,754,373,8,10,"10",0,1960,9,"Italian Grand Prix","clark","N",7,8,7,7,6,1,1,0
50217,754,528,0,60,"60",0,1960,9,"Italian Grand Prix","freeland","N",53,0,0,0,0,0,0,0
50197,754,449,6,14,"14",0,1960,9,"Italian Grand Prix","ward","N",13,6,4,4,4,2,0,2
50180,754,502,0,72,"72",0,1960,9,"Italian Grand Prix","stacey","N",65,0,0,0,0,0,0,0
49503,774,579,7,13,"13",0,1958,10,"Italian Grand Prix","fangio","N",13,7,7,6,6,1,1,0
49654,775,566,0,23,"23",0,1958,11,"Moroccan Grand Prix","shelby","Y",21,0,0,0,0,0,0,0
49638,775,527,0,70,"70",0,1958,11,"Moroccan Grand Prix","sachs","Y",66,0,0,0,0,0,0,0
