"raceId","driverId","qual_positon","qual_time","resultId","grid","finish_position","positionOrder","statusId","YEAR","NAME","WEATHER_WET","CIRCUITREF","circuitId","circuit","country","lat","lng","alt","code","forename","surname","nationality","qual_gap","won_race","race_21"
1060,846,2,63.768,25128,2,"3",3,1,2021,"Austrian Grand Prix","N","red_bull_ring",70,"Red Bull Ring","Austria",47.2197,14.7647,"678","NOR","Lando","Norris","British",-0.245999999999995,0,0
1060,830,1,63.72,25126,1,"1",1,1,2021,"Austrian Grand Prix","N","red_bull_ring",70,"Red Bull Ring","Austria",47.2197,14.7647,"678","VER","Max","Verstappen","Dutch",-0.293999999999997,1,0
1061,822,3,86.328,25148,3,"3",3,1,2021,"British Grand Prix","N","silverstone",9,"Silverstone Circuit","UK",52.0786,-1.01694,"153","BOT","Valtteri","Bottas","Finnish",-0.5,0,0
1061,1,1,86.134,25146,2,"1",1,1,2021,"British Grand Prix","N","silverstone",9,"Silverstone Circuit","UK",52.0786,-1.01694,"153","HAM","Lewis","Hamilton","British",-0.694000000000003,1,0
1062,830,3,75.84,25174,3,"9",9,1,2021,"Hungarian Grand Prix","Y","hungaroring",11,"Hungaroring","Hungary",47.5789,19.2486,"264","VER","Max","Verstappen","Dutch",-0.581000000000003,0,0
1062,1,1,75.419,25167,1,"2",2,1,2021,"Hungarian Grand Prix","Y","hungaroring",11,"Hungaroring","Hungary",47.5789,19.2486,"264","HAM","Lewis","Hamilton","British",-1.00200000000001,0,0
1063,1,3,120.099,25188,3,"3",3,1,2021,"Belgian Grand Prix","Y","spa",13,"Circuit de Spa-Francorchamps","Belgium",50.4372,5.97139,"401","HAM","Lewis","Hamilton","British",-0.765000000000015,0,0
1063,847,2,120.086,25187,2,"2",2,1,2021,"Belgian Grand Prix","Y","spa",13,"Circuit de Spa-Francorchamps","Belgium",50.4372,5.97139,"401","RUS","George","Russell","British",-0.777999999999992,0,0
1063,830,1,119.765,25186,1,"1",1,1,2021,"Belgian Grand Prix","Y","spa",13,"Circuit de Spa-Francorchamps","Belgium",50.4372,5.97139,"401","VER","Max","Verstappen","Dutch",-1.09900000000002,1,0
1064,822,3,69.222,25208,3,"3",3,1,2021,"Dutch Grand Prix","N","zandvoort",39,"Circuit Park Zandvoort","Netherlands",52.3888,4.54092,"6","BOT","Valtteri","Bottas","Finnish",-0.256,0,0
1064,1,2,68.923,25207,2,"2",2,1,2021,"Dutch Grand Prix","N","zandvoort",39,"Circuit Park Zandvoort","Netherlands",52.3888,4.54092,"6","HAM","Lewis","Hamilton","British",-0.554999999999993,0,0
1064,830,1,68.885,25206,1,"1",1,1,2021,"Dutch Grand Prix","N","zandvoort",39,"Circuit Park Zandvoort","Netherlands",52.3888,4.54092,"6","VER","Max","Verstappen","Dutch",-0.592999999999989,1,0
1065,846,4,79.989,25227,3,"2",2,1,2021,"Italian Grand Prix","N","monza",14,"Autodromo Nazionale di Monza","Italy",45.6156,9.28111,"162","NOR","Lando","Norris","British",0,0,0
1066,847,3,102.983,25255,3,"10",10,1,2021,"Russian Grand Prix","Y","sochi",71,"Sochi Autodrom","Russia",43.4057,39.9578,"2","RUS","George","Russell","British",-1.06700000000001,0,0
1066,832,2,102.51,25248,2,"3",3,1,2021,"Russian Grand Prix","Y","sochi",71,"Sochi Autodrom","Russia",43.4057,39.9578,"2","SAI","Carlos","Sainz","Spanish",-1.54000000000002,0,0
1066,846,1,101.993,25252,1,"7",7,1,2021,"Russian Grand Prix","Y","sochi",71,"Sochi Autodrom","Russia",43.4057,39.9578,"2","NOR","Lando","Norris","British",-2.05700000000002,0,0
1067,844,4,83.265,25269,3,"4",4,1,2021,"Turkish Grand Prix","Y","istanbul",5,"Istanbul Park","Turkey",40.9517,29.405,"130","LEC","Charles","Leclerc","Monegasque",0,0,0
1067,830,3,83.196,25267,2,"2",2,1,2021,"Turkish Grand Prix","Y","istanbul",5,"Istanbul Park","Turkey",40.9517,29.405,"130","VER","Max","Verstappen","Dutch",-0.0690000000000026,0,0
1067,822,2,82.998,25266,1,"1",1,1,2021,"Turkish Grand Prix","Y","istanbul",5,"Istanbul Park","Turkey",40.9517,29.405,"130","BOT","Valtteri","Bottas","Finnish",-0.266999999999996,1,0
1069,815,3,93.134,25288,3,"3",3,1,2021,"United States Grand Prix","N","americas",69,"Circuit of the Americas","USA",30.1328,-97.6411,"161","PER","Sergio","Pérez","Mexican",-0.341000000000008,0,0
1069,1,2,93.119,25287,2,"2",2,1,2021,"United States Grand Prix","N","americas",69,"Circuit of the Americas","USA",30.1328,-97.6411,"161","HAM","Lewis","Hamilton","British",-0.355999999999995,0,0
1069,830,1,92.91,25286,1,"1",1,1,2021,"United States Grand Prix","N","americas",69,"Circuit of the Americas","USA",30.1328,-97.6411,"161","VER","Max","Verstappen","Dutch",-0.564999999999998,1,0
1070,830,3,76.225,25306,3,"1",1,1,2021,"Mexican Grand Prix","N","rodriguez",32,"Autódromo Hermanos Rodríguez","Mexico",19.4042,-99.0907,"2227","VER","Max","Verstappen","Dutch",-0.117000000000004,1,0
1070,1,2,76.02,25307,2,"2",2,1,2021,"Mexican Grand Prix","N","rodriguez",32,"Autódromo Hermanos Rodríguez","Mexico",19.4042,-99.0907,"2227","HAM","Lewis","Hamilton","British",-0.322000000000003,0,0
1070,822,1,75.875,25320,1,"15",15,12,2021,"Mexican Grand Prix","N","rodriguez",32,"Autódromo Hermanos Rodríguez","Mexico",19.4042,-99.0907,"2227","BOT","Valtteri","Bottas","Finnish",-0.466999999999999,0,0
1071,822,3,68.469,25328,1,"3",3,1,2021,"Brazilian Grand Prix","N","interlagos",18,"Autódromo José Carlos Pace","Brazil",-23.7036,-46.6997,"785","BOT","Valtteri","Bottas","Finnish",-0.01400000000001,0,0
1071,830,2,68.372,25327,2,"2",2,1,2021,"Brazilian Grand Prix","N","interlagos",18,"Autódromo José Carlos Pace","Brazil",-23.7036,-46.6997,"785","VER","Max","Verstappen","Dutch",-0.111000000000004,0,0
1072,830,3,87.653,25367,3,"2",2,1,2021,"Saudi Arabian Grand Prix","N","jeddah",77,"Jeddah Street Circuit","Saudi Arabia",21.5433,39.1728,"15","VER","Max","Verstappen","Dutch",-0.400999999999996,0,0
1072,822,2,87.622,25368,2,"3",3,1,2021,"Saudi Arabian Grand Prix","N","jeddah",77,"Jeddah Street Circuit","Saudi Arabia",21.5433,39.1728,"15","BOT","Valtteri","Bottas","Finnish",-0.432000000000002,0,0
