"raceId","driverId","qual_positon","qual_time","resultId","grid","finish_position","positionOrder","statusId","YEAR","NAME","WEATHER_WET","CIRCUITREF","circuitId","circuit","country","lat","lng","alt","code","forename","surname","nationality","qual_gap","won_race","race_21"
998,1,1,85.892,23963,1,"2",2,1,2018,"British Grand Prix","N","silverstone",9,"Silverstone Circuit","UK",52.0786,-1.01694,"153","HAM","Lewis","Hamilton","British",-0.325000000000003,0,0
999,8,3,71.547,23985,3,"3",3,1,2018,"German Grand Prix","Y","hockenheimring",10,"Hockenheimring","Germany",49.3278,8.56583,"103","RAI","Kimi","Räikkönen","Finnish",-0.275000000000006,0,0
999,822,2,71.416,23984,2,"2",2,1,2018,"German Grand Prix","Y","hockenheimring",10,"Hockenheimring","Germany",49.3278,8.56583,"103","BOT","Valtteri","Bottas","Finnish",-0.406000000000006,0,0
1000,8,3,96.186,24005,3,"3",3,1,2018,"Hungarian Grand Prix","N","hungaroring",11,"Hungaroring","Hungary",47.5789,19.2486,"264","RAI","Kimi","Räikkönen","Finnish",-0.0240000000000009,0,0
1000,822,2,95.918,24007,2,"5",5,1,2018,"Hungarian Grand Prix","N","hungaroring",11,"Hungaroring","Hungary",47.5789,19.2486,"264","BOT","Valtteri","Bottas","Finnish",-0.292000000000002,0,0
1000,1,1,95.658,24003,1,"1",1,1,2018,"Hungarian Grand Prix","N","hungaroring",11,"Hungaroring","Hungary",47.5789,19.2486,"264","HAM","Lewis","Hamilton","British",-0.552000000000021,1,0
1001,839,3,121.851,24028,3,"6",6,1,2018,"Belgian Grand Prix","N","spa",13,"Circuit de Spa-Francorchamps","Belgium",50.4372,5.97139,"401","OCO","Esteban","Ocon","French",-0.0430000000000064,0,0
1001,20,2,118.905,24023,2,"1",1,1,2018,"Belgian Grand Prix","N","spa",13,"Circuit de Spa-Francorchamps","Belgium",50.4372,5.97139,"401","VET","Sebastian","Vettel","German",-2.989,1,0
1001,1,1,118.179,24024,1,"2",2,1,2018,"Belgian Grand Prix","N","spa",13,"Circuit de Spa-Francorchamps","Belgium",50.4372,5.97139,"401","HAM","Lewis","Hamilton","British",-3.715,0,0
1002,1,3,79.294,24043,3,"1",1,1,2018,"Italian Grand Prix","N","monza",14,"Autodromo Nazionale di Monza","Italy",45.6156,9.28111,"162","HAM","Lewis","Hamilton","British",-0.362000000000009,1,0
1002,20,2,79.28,24046,2,"4",4,1,2018,"Italian Grand Prix","N","monza",14,"Autodromo Nazionale di Monza","Italy",45.6156,9.28111,"162","VET","Sebastian","Vettel","German",-0.376000000000005,0,0
1002,8,1,79.119,24044,1,"2",2,1,2018,"Italian Grand Prix","N","monza",14,"Autodromo Nazionale di Monza","Italy",45.6156,9.28111,"162","RAI","Kimi","Räikkönen","Finnish",-0.537000000000006,0,0
1003,20,3,96.628,24065,3,"3",3,1,2018,"Singapore Grand Prix","N","marina_bay",15,"Marina Bay Street Circuit","Singapore",1.2914,103.864,"18","VET","Sebastian","Vettel","German",-0.0740000000000123,0,0
1003,830,2,96.334,24064,2,"2",2,1,2018,"Singapore Grand Prix","N","marina_bay",15,"Marina Bay Street Circuit","Singapore",1.2914,103.864,"18","VER","Max","Verstappen","Dutch",-0.367999999999995,0,0
1003,1,1,96.015,24063,1,"1",1,1,2018,"Singapore Grand Prix","N","marina_bay",15,"Marina Bay Street Circuit","Singapore",1.2914,103.864,"18","HAM","Lewis","Hamilton","British",-0.687000000000012,1,0
1004,20,3,91.943,24085,3,"3",3,1,2018,"Russian Grand Prix","N","sochi",71,"Sochi Autodrom","Russia",43.4057,39.9578,"2","VET","Sebastian","Vettel","German",-0.293999999999983,0,0
